id,category,superclass,marker,affirmative,negated
7357,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The managers are tired.,"The managers are not tired, the managers are exhausted."
7358,Neg-raising,Clausal / discourse,doesn't expect,He expects that the flight will be on time.,He doesn't expect the flight will be on time.
7359,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The coordinator is worried.,"The coordinator is not worried, the coordinator is panicked."
7360,Correlative negation,Negative quantifiers,neither...nor,Both the elevator and the escalator are tested.,Neither the elevator nor the escalator is tested.
7361,Modals,Particle,cannot,The farmers can want more coffee.,The farmers cannot want more coffee.
7362,Negative imperatives,Clausal / discourse,don't,Please share confidential data during the demo.,Don't share confidential data during the demo.
7363,Conditional negation,Clausal / discourse,unless,"If you sign the contract, the offer will expire.","Unless you sign the contract, the offer will expire."
7364,Copula,Particle,is not,The bus is empty.,The bus is not empty.
7365,Affixial negation,Affixial,uncommon,The printer is common.,The printer is uncommon.
7366,Modals,Particle,wouldn't,The auditor would arrive on time.,The auditor wouldn't arrive on time.
7367,Exceptors,Negative quantifiers,besides,Every sample is accounted for.,Every sample is accounted for besides the duplicate entry.
7368,Modals,Particle,will not,The applicant will need any help.,The applicant will not need any help.
7369,Double negation / negative concord,Double negation,not intolerant,The witness is tolerant.,The witness is not intolerant.
7370,Affixial negation,Affixial,nonfunctional,The truck is functional.,The truck is nonfunctional.
7371,Sentential negative quantifiers,Negative quantifiers,nowhere,The receipt can be found somewhere in the building.,The receipt can be found nowhere in the building.
7372,Correlative negation,Negative quantifiers,neither...nor,Both the buyer and the seller are trained.,Neither the buyer nor the seller is trained.
7373,Negative imperatives,Clausal / discourse,no + gerund,Exceeding the limit in the workshop is allowed.,No exceeding the limit in the workshop.
7374,Copula,Particle,isn't,The company is effective.,The company isn't effective.
7375,Exceptors,Negative quantifiers,but for,Every employee is present.,Every employee is present but for the extra guest.
7376,Modals,Particle,should not,The patients should like the proposal.,The patients should not like the proposal.
7377,Exceptors,Negative quantifiers,but for,Every visitor is present.,Every visitor is present but for the acting chair.
7378,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The bicycle is warm.,"The bicycle is not warm, the bicycle is hot."
7379,Inherent negative verbs/adjectives,Lexical negation,opposed,The interns supported the plan.,The interns opposed the plan.
7380,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody handled the situation at the office.,Nobody handled the situation at the office.
7381,Partial negation,Negative quantifiers,not every,Every draft is operational.,Not every draft is operational.
7382,Copula,Particle,isn't,The agreement is visible.,The agreement isn't visible.
7383,Correlative negation,Negative quantifiers,neither...nor,Both the president and the vice president are available.,Neither the president nor the vice president is available.
7384,Restrictive/exclusive particles,Scalar / restrictive,just,Several people responded to the email.,Just the negotiator responded to the email.
7385,Double negation / negative concord,Double negation,not unusual,The proposal is usual.,The proposal is not unusual.
7386,Exceptors,Negative quantifiers,but for,Every teacher is present.,Every teacher is present but for the extra guest.
7387,Conditional negation,Clausal / discourse,unless,"If you upload the document, the request will be denied.","Unless you upload the document, the request will be denied."
7388,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The nurse is tired.,"The nurse is not tired, the nurse is exhausted."
7389,Exceptors,Negative quantifiers,other than,Every device is accounted for.,Every device is accounted for other than the backup copy.
7390,Correlative negation,Negative quantifiers,neither...nor,Both the sender and the receiver are qualified.,Neither the sender nor the receiver is qualified.
7391,Copula,Particle,isn't,The firm is expensive.,The firm isn't expensive.
7392,Neg-raising,Clausal / discourse,doesn't think,He thinks that the project will succeed.,He doesn't think the project will succeed.
7393,Affixial negation,Affixial,immature,The customers are mature.,The customers are immature.
7394,Conditional negation,Clausal / discourse,unless,"If you register the device, the ticket will be closed.","Unless you register the device, the ticket will be closed."
7395,Double negation / negative concord,Double negation,not inconvenient,The company is convenient.,The company is not inconvenient.
7396,Negative imperatives,Clausal / discourse,never,Always enter the room during the tour.,Never enter the room during the tour.
7397,Partial negation,Negative quantifiers,not all,All patients are trained.,Not all patients are trained.
7398,Prepositional negation,Lexical negation,lacking,The transaction has a confirmation.,The transaction is lacking a confirmation.
7399,Exceptors,Negative quantifiers,other than,Every prototype is accounted for.,Every prototype is accounted for other than the draft proposal.
7400,Double negation / negative concord,Double negation,not inconsistent,The machine is consistent.,The machine is not inconsistent.
7401,Sentential negative quantifiers,Negative quantifiers,no one,Somebody approved the budget yesterday.,No one approved the budget yesterday.
7402,Prepositional negation,Lexical negation,devoid of,The offer has a discount.,The offer is devoid of a discount.
7403,Partial negation,Negative quantifiers,not every,Every printer is expired.,Not every printer is expired.
7404,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The car is fast.,"The car is not fast, the car is lightning-quick."
7405,Restrictive/exclusive particles,Scalar / restrictive,alone,Several people met the requirements.,The supervisor alone met the requirements.
7406,Restrictive/exclusive particles,Scalar / restrictive,just,Several people submitted a proposal.,Just the mentor submitted a proposal.
7407,Modals,Particle,cannot,The camera can handle heavy load.,The camera cannot handle heavy load.
7408,Restrictive/exclusive particles,Scalar / restrictive,just,Several people confirmed attendance.,Just the technician confirmed attendance.
7409,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The consultant still manages the account.,The consultant has ceased managing the account.
7410,Prepositional negation,Lexical negation,minus,The policy has enforcement measures.,The policy is minus enforcement measures.
7411,Affixial negation,Affixial,incomplete,The camera is complete.,The camera is incomplete.
7412,Approximate negators,Scalar / restrictive,rarely,The teachers often want more coffee.,The teachers rarely want more coffee.
7413,Restrictive/exclusive particles,Scalar / restrictive,alone,Several people joined the call.,The reviewer alone joined the call.
7414,Approximate negators,Scalar / restrictive,barely ever,The engineers often handle the situation.,The engineers barely ever handle the situation.
